Comment,Designator,Footprint,LCSC,Quantity
0R,"R403,R409",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477,2
100K,"R601,R606",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,2
100R,"R602,R603",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,2
100n,"C301,C401,C601,C603,C604",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,5
10K,"R410,R605,R607",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,3
10u,"C201,C302",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,2
1u,C602,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,1
330R,R401,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630,1
33k,R402,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17633,1
33p,"C605,C606",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107115,2
47R,"R405,R406,R407,R604",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17714,4
560R,R303,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C28636,1
5K1,"R301,R302",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
62684-402100ALF,J401,AMPHENOL_62684-402100ALF,C19273935,1
7312P0225A13LF,J601,AMPHENOL_7312P0225A13LF_smrt2_combo_handsolder,C5417011,1
LED,D302,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
Q_NMOS_GSD,Q401,SOT-23,C20917,1
SEC1210PV-URT,U601,QFN-24-1EP_5x5mm_P0.65mm_EP3.4x3.4mm,C633309,1
SMF5.0CA,D301,D_SOD-123F,C19077498,1
SW_Push,"SW501,SW502,SW503,SW504,SW505,SW506,SW507,SW508",SW_SPST_FSMSM,C318938,8
USB_C_Receptacle_PowerOnly_6P,J301,USB_C_Receptacle_HRO_TYPE-C-31-M-17,C668623,1
Jumper_2_Small_Bridged,JP203,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
Jumper_2_Small_Open,JP202,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Small_Bridged,JP201,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
LuckFox_Pico_MINI,U202,LUCKFOX_PICO_MINI_reversed,,1
Jumper_2_Small_Open,JP204,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Small_Bridged,JP205,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,,1
Jumper_2_Small_Open,JP206,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
