Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.76,-75.4,270.0,bottom
C301,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.23,-111.29,0.0,bottom
C302,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.28,-109.46,0.0,bottom
C401,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,186.022527,-102.260574,180.0,bottom
C601,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.3,-80.9,180.0,bottom
C602,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.5399,-80.8228,0.0,bottom
C603,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.6,-84.49,0.0,bottom
C604,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.0472,-89.2,180.0,bottom
C605,33p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,143.891,-86.36,90.0,bottom
C606,33p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.9098,-86.3346,90.0,bottom
D301,SMF5.0CA,D_SOD-123F,95.41,-111.0625,270.0,bottom
D302,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,89.0778,-122.2248,180.0,bottom
J301,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_HRO_TYPE-C-31-M-17,96.51,-119.845,0.0,bottom
J401,62684-402100ALF,AMPHENOL_62684-402100ALF,179.7975,-98.64,90.0,bottom
J601,7312P0225A13LF,AMPHENOL_7312P0225A13LF_smrt2_combo_handsolder,137.985,-109.4,0.0,bottom
JP201,Jumper_2_Small_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,165.5064,-83.2866,0.0,bottom
JP202,Jumper_2_Small_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,159.639,-83.2866,180.0,bottom
JP203,Jumper_2_Small_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,149.86,-77.597,0.0,bottom
JP204,Jumper_2_Small_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,152.9334,-83.312,0.0,bottom
JP205,Jumper_2_Small_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,156.5656,-77.6224,180.0,bottom
JP206,Jumper_2_Small_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,162.6362,-77.6224,0.0,bottom
Q401,Q_NMOS_GSD,SOT-23,186.022527,-105.760574,180.0,bottom
R301,5K1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.13,-113.46,0.0,bottom
R302,5K1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100.99,-113.47,180.0,bottom
R303,560R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.1032,-119.5578,0.0,bottom
R401,330R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.022527,-111.790574,180.0,bottom
R402,33k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.022527,-109.260574,180.0,bottom
R403,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.09,-86.86,0.0,bottom
R405,47R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.022527,-92.170574,180.0,bottom
R406,47R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.022527,-94.700574,180.0,bottom
R407,47R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.022527,-97.250574,180.0,bottom
R409,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,188.1,-89.1,0.0,bottom
R410,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,186.022527,-99.730574,0.0,bottom
R601,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,137.4,-79.8,90.0,bottom
R602,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.1,-86.2,180.0,bottom
R603,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.1,-84.2,180.0,bottom
R604,47R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.0,-89.2,180.0,bottom
R605,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.4,-89.2,0.0,bottom
R606,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.954,-86.3854,270.0,bottom
R607,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.65,-87.31,90.0,bottom
SW501,SW_Push,SW_SPST_FSMSM,71.98,-100.544,90.0,top
SW502,SW_Push,SW_SPST_FSMSM,82.47,-90.05,90.0,top
SW503,SW_Push,SW_SPST_FSMSM,82.469999,-100.543999,135.0,top
SW504,SW_Push,SW_SPST_FSMSM,82.47,-110.97,180.0,top
SW505,SW_Push,SW_SPST_FSMSM,92.92,-100.544,0.0,top
SW506,SW_Push,SW_SPST_FSMSM,176.88,-90.26,-45.0,top
SW507,SW_Push,SW_SPST_FSMSM,176.88,-100.53,90.0,top
SW508,SW_Push,SW_SPST_FSMSM,176.88,-110.859999,45.0,top
U202,LuckFox_Pico_MINI,LUCKFOX_PICO_MINI_reversed,94.24625,-86.82,0.0,bottom
U601,SEC1210PV-URT,QFN-24-1EP_5x5mm_P0.65mm_EP3.4x3.4mm,135.0,-86.3,270.0,bottom
