Comment,Designator,Footprint,LCSC,Quantity
100K,"R42,R46",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,2
33p,"C41,C42",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1663,2
100R,"R44,R45",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,2
10K,R41,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,1
150k,R35,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17470,1
1k,R39,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,1
24k,R36,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17575,1
470k,R33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17709,1
47R,R43,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17714,1
SMF13CA,D32,P37_SOD-123FL_largerpads,C19077508,1
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
18k,R34,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25810,1
5.1K,"R31,R32",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
1u,C44,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,1
560R,R38,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C28636,1
475532001,"J41,J43",library,C293333,2
1n,C32,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653,1
100n,"C31,C43,C45,C46",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,4
Adafruit_4079,J21,PinSocket_2x20_P2.54mm_Vertical,C5143501,1
TPS25961DRVR,U31,DRV0006A-IPC_A,C5571272,1
7312P0225A13LF,J42,AMPHENOL_7312P0225A13LF_smrt2_combo_handsolder,C599034,1
SEC1210PV-URT,U41,QFN-24-1EP_5x5mm_P0.65mm_EP3.4x3.4mm,C633309,1
USB_C_Receptacle_PowerOnly_6P,J31,USB_C_Receptacle_HRO_TYPE-C-31-M-17,C668623,1
Conn_01x02_Pin,,PinSocket_1x02_P2.54mm_Vertical,,0
