Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C31,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.75,39.91,180.0,top
C32,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.95,48.53,90.0,top
C41,33p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,65.44,44.83,90.0,top
C42,33p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,65.9,41.12,90.0,top
C43,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.66,41.44,-90.0,top
C44,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.9325,38.53,180.0,top
C45,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,54.2,40.35,180.0,top
C46,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,54.0,42.2,180.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,84.95,32.48,90.0,top
D32,SMF13CA,P37_SOD-123FL_largerpads,75.39,41.29,-90.0,top
J21,Adafruit_4079,PinSocket_2x20_P2.54mm_Vertical,53.57,49.27,270.0,bottom
J31,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_HRO_TYPE-C-31-M-17,81.275,41.83,90.0,top
J32,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,83.42,28.795,-90.0,top
J41,475532001,library,36.517588,36.68525,-90.0,top
J42,7312P0225A13LF,AMPHENOL_7312P0225A13LF_smrt2_combo_handsolder,54.9,18.15,0.0,top
J43,475532001,sim_slot,36.512588,36.69475,90.0,bottom
R31,5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,75.39,38.17,0.0,top
R32,5.1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,84.1,35.31,180.0,top
R33,470k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,71.7,38.2,0.0,top
R34,18k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.84,42.82,-90.0,top
R35,150k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,74.38,45.68,180.0,top
R36,24k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.67,45.72,0.0,top
R37,0R,R_0603_1608Metric,77.46,43.82,90.0,top
R38,560R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.27,32.475,-90.0,top
R39,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,67.65,44.82,90.0,top
R41,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.48,41.3,-90.0,top
R42,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.92,38.17,0.0,top
R43,47R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,64.37,38.24,0.0,top
R44,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,52.43,45.75,0.0,top
R45,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,52.29,43.91,0.0,top
R46,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,50.45,40.8,180.0,top
U31,TPS25961DRVR,DRV0006A-IPC_A,72.8375,43.04,-90.0,top
U41,SEC1210PV-URT,QFN-24-1EP_5x5mm_P0.65mm_EP3.4x3.4mm,59.225,42.5,90.0,top
